,Gas (corrected)
2020-03-13 05:00:00,0.640223708665108
2020-03-13 05:30:00,0.9240325859188683
2020-03-13 06:00:00,1.3879601617942066
2020-03-13 06:30:00,1.6859266567523803
2020-03-13 07:00:00,1.7010105303289715
2020-03-13 07:30:00,1.4941598115178014
2020-03-13 08:00:00,1.2079244406221552
2020-03-13 08:30:00,0.9483077873154762
2020-03-13 09:00:00,0.8033264235126037
2020-03-13 09:30:00,0.7213632357596655
2020-03-13 10:00:00,0.6707443422438294
2020-03-13 10:30:00,0.6415468211351132
2020-03-13 11:00:00,0.6199012846719778
2020-03-13 11:30:00,0.6155460982790872
2020-03-13 12:00:00,0.6566913458584509
2020-03-13 12:30:00,0.6270270629747112
2020-03-13 13:00:00,0.6130656354255642
2020-03-13 13:30:00,0.5992698524541064
2020-03-13 14:00:00,0.6256887640357972
2020-03-13 14:30:00,0.6583960778973899
2020-03-13 15:00:00,0.7819521381488915
2020-03-13 15:30:00,0.91195947814632
2020-03-13 16:00:00,1.1859806800769899
2020-03-13 16:30:00,1.4003037057703147
2020-03-13 17:00:00,1.5421056020684345
2020-03-13 17:30:00,1.5394491705929236
2020-03-13 18:00:00,1.581649724522372
2020-03-13 18:30:00,1.5252551292216312
2020-03-13 19:00:00,1.4481307699222035
2020-03-13 19:30:00,1.3538913007931401
2020-03-13 20:00:00,1.255051836633333
2020-03-13 20:30:00,1.1466935426890212
2020-03-13 21:00:00,1.014285634534777
2020-03-13 21:30:00,0.8705381163070464
2020-03-13 22:00:00,0.6735608200279402
2020-03-13 22:30:00,0.5077185230837788
2020-03-13 23:00:00,0.3902195406295766
2020-03-13 23:30:00,0.3241770820984504
2020-03-14 00:00:00,0.2772211202750417
2020-03-14 00:30:00,0.2512350762278633
2020-03-14 01:00:00,0.23767981917610229
2020-03-14 01:30:00,0.2312864544379085
2020-03-14 02:00:00,0.2287958938362639
2020-03-14 02:30:00,0.22904477845748591
2020-03-14 03:00:00,0.23588731322487508
2020-03-14 03:30:00,0.24597797220845782
2020-03-14 04:00:00,0.2806536463861223
2020-03-14 04:30:00,0.3263553043388767
2020-03-14 05:00:00,0.45993266107106884
2020-03-14 05:30:00,0.6230809043468231
2020-03-14 06:00:00,0.952867081393542
2020-03-14 06:30:00,1.2123187856768234
2020-03-14 07:00:00,1.406003048979656
2020-03-14 07:30:00,1.4019704323600903
2020-03-14 08:00:00,1.3505832288854114
2020-03-14 08:30:00,1.211028724575561
2020-03-14 09:00:00,1.0746611685620493
2020-03-14 09:30:00,0.959035373227657
2020-03-14 10:00:00,0.8586584280803324
2020-03-14 10:30:00,0.7972448653898501
2020-03-14 11:00:00,0.7529567316818864
2020-03-14 11:30:00,0.7229091364584528
2020-03-14 12:00:00,0.763680074901747
2020-03-14 12:30:00,0.7208002816128438
2020-03-14 13:00:00,0.7120405173695409
2020-03-14 13:30:00,0.7053178204557908
2020-03-14 14:00:00,0.7271914508483754
2020-03-14 14:30:00,0.7556432747773372
2020-03-14 15:00:00,0.8618705704473412
2020-03-14 15:30:00,0.9466496482467553
2020-03-14 16:00:00,1.1909890165301014
2020-03-14 16:30:00,1.3348167347358135
2020-03-14 17:00:00,1.4357772295829891
2020-03-14 17:30:00,1.4010871626656507
2020-03-14 18:00:00,1.4148932694490413
2020-03-14 18:30:00,1.3304858888950708
2020-03-14 19:00:00,1.245922227853768
2020-03-14 19:30:00,1.1460323454852879
2020-03-14 20:00:00,1.0583969932611639
2020-03-14 20:30:00,0.9734557735244094
2020-03-14 21:00:00,0.8570215724258587
2020-03-14 21:30:00,0.7472822246594576
2020-03-14 22:00:00,0.5869197828834567
2020-03-14 22:30:00,0.4646739507134957
2020-03-14 23:00:00,0.3517991405434322
2020-03-14 23:30:00,0.2875735184124081
2020-03-15 00:00:00,0.2538983036618697
2020-03-15 00:30:00,0.22976283465095904
2020-03-15 01:00:00,0.2128522090302653
2020-03-15 01:30:00,0.20247561884354143
2020-03-15 02:00:00,0.1982331106111405
2020-03-15 02:30:00,0.1986437671461778
2020-03-15 03:00:00,0.20362695428356128
2020-03-15 03:30:00,0.21160593583673887
2020-03-15 04:00:00,0.23992104007527787
2020-03-15 04:30:00,0.2815964101263485
2020-03-15 05:00:00,0.40343297502833325
2020-03-15 05:30:00,0.5548932752947755
2020-03-15 06:00:00,0.857704681414288
2020-03-15 06:30:00,1.0926094759468314
2020-03-15 07:00:00,1.2661587364566456
2020-03-15 07:30:00,1.2564429385683888
2020-03-15 08:00:00,1.2207874114257884
2020-03-15 08:30:00,1.1096126946937985
2020-03-15 09:00:00,1.008331888236104
2020-03-15 09:30:00,0.9309786548893743
2020-03-15 10:00:00,0.8637956215433625
2020-03-15 10:30:00,0.8209913381554043
2020-03-15 11:00:00,0.8021174550430508
2020-03-15 11:30:00,0.7897973695853088
2020-03-15 12:00:00,0.8309827857702775
2020-03-15 12:30:00,0.7987445400450941
2020-03-15 13:00:00,0.7916639279372888
2020-03-15 13:30:00,0.7905417040909106
2020-03-15 14:00:00,0.793169553206048
2020-03-15 14:30:00,0.8002954015162648
2020-03-15 15:00:00,0.8736869209932285
2020-03-15 15:30:00,0.9408941329737849
2020-03-15 16:00:00,1.1642906606495007
2020-03-15 16:30:00,1.2787874665834316
2020-03-15 17:00:00,1.3853475920288516
2020-03-15 17:30:00,1.3936904541541337
2020-03-15 18:00:00,1.4523374720989273
2020-03-15 18:30:00,1.415086499378856
2020-03-15 19:00:00,1.3470631686939047
2020-03-15 19:30:00,1.2515122152802438
2020-03-15 20:00:00,1.1601634623767443
2020-03-15 20:30:00,1.0474257676333603
2020-03-15 21:00:00,0.9218733367443377
2020-03-15 21:30:00,0.7813922920307381
2020-03-15 22:00:00,0.6039865893224658
2020-03-15 22:30:00,0.448246505252452
2020-03-15 23:00:00,0.3274152746738901
2020-03-15 23:30:00,0.269635932890611
2020-03-16 00:00:00,0.244761459356731
2020-03-16 00:30:00,0.22533510324452585
2020-03-16 01:00:00,0.2197953373820152
2020-03-16 01:30:00,0.21684917639061416
2020-03-16 02:00:00,0.22223453581770589
2020-03-16 02:30:00,0.2257575283393533
2020-03-16 03:00:00,0.2449069839449848
2020-03-16 03:30:00,0.26129805601590644
2020-03-16 04:00:00,0.311170680790507
2020-03-16 04:30:00,0.39364955886898484
2020-03-16 05:00:00,0.6067985331441057
2020-03-16 05:30:00,0.8943195251600201
2020-03-16 06:00:00,1.3650922463273414
2020-03-16 06:30:00,1.6525773625112623
2020-03-16 07:00:00,1.6546283824083454
2020-03-16 07:30:00,1.4416870271032416
2020-03-16 08:00:00,1.149463918827417
2020-03-16 08:30:00,0.8737739395730744
2020-03-16 09:00:00,0.7150854283364009
2020-03-16 09:30:00,0.6105982446078275
2020-03-16 10:00:00,0.541299856510473
2020-03-16 10:30:00,0.5086228923540982
2020-03-16 11:00:00,0.48549714136339017
2020-03-16 11:30:00,0.4742817721189028
2020-03-16 12:00:00,0.5118020319864413
2020-03-16 12:30:00,0.46801427335420254
2020-03-16 13:00:00,0.44872579226069764
2020-03-16 13:30:00,0.4355646191457132
2020-03-16 14:00:00,0.4535280055558766
2020-03-16 14:30:00,0.4872180855371458
2020-03-16 15:00:00,0.6044138321670415
2020-03-16 15:30:00,0.7310577131862884
2020-03-16 16:00:00,1.0076425137896203
2020-03-16 16:30:00,1.2340023008642433
2020-03-16 17:00:00,1.40801311928655
2020-03-16 17:30:00,1.4586642630875344
2020-03-16 18:00:00,1.5488678761191121
2020-03-16 18:30:00,1.5072707975681237
2020-03-16 19:00:00,1.4286360740349313
2020-03-16 19:30:00,1.3377117127166878
2020-03-16 20:00:00,1.2431294717784573
2020-03-16 20:30:00,1.1315077328814542
2020-03-16 21:00:00,0.9785696172519515
2020-03-16 21:30:00,0.8265576290331292
2020-03-16 22:00:00,0.6221695755660864
2020-03-16 22:30:00,0.45299702290403604
2020-03-16 23:00:00,0.33551590296084793
2020-03-16 23:30:00,0.2747408113593852
2020-03-17 00:00:00,0.2412632618735082
2020-03-17 00:30:00,0.21896348120119877
2020-03-17 01:00:00,0.21178975244242326
2020-03-17 01:30:00,0.20460505693340833
2020-03-17 02:00:00,0.20816940742910625
2020-03-17 02:30:00,0.20912635608523228
2020-03-17 03:00:00,0.22319392646988467
2020-03-17 03:30:00,0.23640787777372022
2020-03-17 04:00:00,0.28238775846941994
2020-03-17 04:30:00,0.3642053909054
2020-03-17 05:00:00,0.5722318104266757
2020-03-17 05:30:00,0.8474417454091466
2020-03-17 06:00:00,1.304410361707583
2020-03-17 06:30:00,1.568655106007894
2020-03-17 07:00:00,1.558704375329221
2020-03-17 07:30:00,1.3550636874115154
2020-03-17 08:00:00,1.0878494248757369
2020-03-17 08:30:00,0.8507308375951
2020-03-17 09:00:00,0.7077531843882363
2020-03-17 09:30:00,0.6263077235762932
2020-03-17 10:00:00,0.5726249399376965
2020-03-17 10:30:00,0.5433748565597369
2020-03-17 11:00:00,0.5298488576527556
2020-03-17 11:30:00,0.5251217534644591
2020-03-17 12:00:00,0.5637015932790087
2020-03-17 12:30:00,0.5380394309636917
2020-03-17 13:00:00,0.541752053723022
2020-03-17 13:30:00,0.5556362234447018
2020-03-17 14:00:00,0.5852149217006307
2020-03-17 14:30:00,0.6171133665003447
2020-03-17 15:00:00,0.7346877200352097
2020-03-17 15:30:00,0.8607219532784146
2020-03-17 16:00:00,1.1196623972301802
2020-03-17 16:30:00,1.3025905911426099
2020-03-17 17:00:00,1.4301740440191018
2020-03-17 17:30:00,1.417068805710927
2020-03-17 18:00:00,1.4634882942057967
2020-03-17 18:30:00,1.3919277743178113
2020-03-17 19:00:00,1.3025751384812583
2020-03-17 19:30:00,1.2148337448612267
2020-03-17 20:00:00,1.1017341266212977
2020-03-17 20:30:00,0.985876358344811
2020-03-17 21:00:00,0.8479523073888267
2020-03-17 21:30:00,0.7052485207371567
2020-03-17 22:00:00,0.5283794080704574
2020-03-17 22:30:00,0.377103372455096
2020-03-17 23:00:00,0.2786766142267807
2020-03-17 23:30:00,0.22405927898069325
2020-03-18 00:00:00,0.19526267048078383
2020-03-18 00:30:00,0.1765198739991095
2020-03-18 01:00:00,0.16920006443056337
2020-03-18 01:30:00,0.1648660158022133
2020-03-18 02:00:00,0.16399781905494057
2020-03-18 02:30:00,0.16418958701574038
2020-03-18 03:00:00,0.1754698381570244
2020-03-18 03:30:00,0.1861314483895663
2020-03-18 04:00:00,0.22812767722516772
2020-03-18 04:30:00,0.3023379470017609
2020-03-18 05:00:00,0.49324404845306274
2020-03-18 05:30:00,0.7521143491127192
2020-03-18 06:00:00,1.1562678266428377
2020-03-18 06:30:00,1.387271822332849
2020-03-18 07:00:00,1.3771610397362157
2020-03-18 07:30:00,1.2143818373234398
2020-03-18 08:00:00,1.0057486361882588
2020-03-18 08:30:00,0.8196595138057975
2020-03-18 09:00:00,0.7154318633144541
2020-03-18 09:30:00,0.6566218245260057
2020-03-18 10:00:00,0.6227158830905318
2020-03-18 10:30:00,0.604183259701476
2020-03-18 11:00:00,0.6061820838493054
2020-03-18 11:30:00,0.6147467438346701
2020-03-18 12:00:00,0.6653456370219077
2020-03-18 12:30:00,0.6437913033301504
2020-03-18 13:00:00,0.6395208774219685
