,Mean kWh
2020-03-11 15:30:00,0.23104254453271378
2020-03-11 16:00:00,0.26329020661822683
2020-03-11 16:30:00,0.29813617133119114
2020-03-11 17:00:00,0.33727226635692303
2020-03-11 17:30:00,0.36749736746165634
2020-03-11 18:00:00,0.39678649732506976
2020-03-11 18:30:00,0.4040891756466887
2020-03-11 19:00:00,0.3936313344129143
2020-03-11 19:30:00,0.37816620176859084
2020-03-11 20:00:00,0.3597239353268841
2020-03-11 20:30:00,0.33812060501750757
2020-03-11 21:00:00,0.31619018711794283
2020-03-11 21:30:00,0.28904736873341424
2020-03-11 22:00:00,0.26275606840360494
2020-03-11 22:30:00,0.2313922185388352
2020-03-11 23:00:00,0.1992624229526821
2020-03-11 23:30:00,0.1750869797451398
2020-03-12 00:00:00,0.1963139893824523
