,Electricity,Gas (corrected)
2020-04-07 04:30:00,0.12424019316260736,0.25176436621003284
2020-04-07 05:00:00,0.12712341021687582,0.39923317781998835
2020-04-07 05:30:00,0.13310726389030217,0.5996956532955634
2020-04-07 06:00:00,0.14880213510319418,0.9551933069202803
2020-04-07 06:30:00,0.1645464549303822,1.1859928276014597
2020-04-07 07:00:00,0.18256597453216356,1.232140753336529
2020-04-07 07:30:00,0.20090683186062339,1.1317409685619304
2020-04-07 08:00:00,0.21520344528015398,0.9762537558540597
2020-04-07 08:30:00,0.2295070791819612,0.7932237843637843
2020-04-07 09:00:00,0.23740499651715194,0.6555711713172262
2020-04-07 09:30:00,0.24334601748440557,0.5589082138446854
2020-04-07 10:00:00,0.2471322073429392,0.48982626259702516
2020-04-07 10:30:00,0.2492468791822872,0.43975566193553534
2020-04-07 11:00:00,0.2488938977718296,0.4129568603089785
2020-04-07 11:30:00,0.25266801540219447,0.3932804885415973
2020-04-07 12:00:00,0.26565954732574704,0.4214347940802053
2020-04-07 12:30:00,0.2659649772254136,0.3770554747240853
2020-04-07 13:00:00,0.25759294071610245,0.347370893935106
2020-04-07 13:30:00,0.24655211113285072,0.3184378968018145
2020-04-07 14:00:00,0.2369893406378399,0.30476010897375744
2020-04-07 14:30:00,0.23176664449227147,0.2959257394544123
2020-04-07 15:00:00,0.23141645861866558,0.3420806528011204
2020-04-07 15:30:00,0.23623265897084708,0.3717984702332718
2020-04-07 16:00:00,0.25612061044805323,0.5299603086790461
2020-04-07 16:30:00,0.2882803186826946,0.6510596500801032
2020-04-07 17:00:00,0.3223371759954921,0.7543014569020846
2020-04-07 17:30:00,0.3421722702228901,0.7436177760367045
2020-04-07 18:00:00,0.34926895504633115,0.8189855039616558
2020-04-07 18:30:00,0.34191362227648364,0.8125624427410718
2020-04-07 19:00:00,0.3348587449912346,0.8451557638503714
2020-04-07 19:30:00,0.3261284200475832,0.8423041619648824
2020-04-07 20:00:00,0.3219020003756575,0.8358396195268732
2020-04-07 20:30:00,0.3067380551751125,0.7224985456154536
2020-04-07 21:00:00,0.28786831642875027,0.6216592980553852
2020-04-07 21:30:00,0.26434738918106676,0.5093252599093047
2020-04-07 22:00:00,0.24299033464813422,0.39822130291459296
2020-04-07 22:30:00,0.21737698785374407,0.2923372160678949
2020-04-07 23:00:00,0.18918490170298025,0.2150358894792037
2020-04-07 23:30:00,0.16865580390683696,0.16920187799876008
2020-04-08 00:00:00,0.1527068509446071,0.14344398988391616
2020-04-08 00:30:00,0.1470349434174898,0.12427846407412158
2020-04-08 01:00:00,0.16230679804963713,0.11747155326581472
2020-04-08 01:30:00,0.15130187925143418,0.11164451728756236
2020-04-08 02:00:00,0.14266417811062973,0.1120303071571546
2020-04-08 02:30:00,0.1344785839571523,0.11052874239450913
2020-04-08 03:00:00,0.12862185242295926,0.117871338030912
2020-04-08 03:30:00,0.12453652639321439,0.12290501647526274
2020-04-08 04:00:00,0.12151681737117125,0.1512138005808287
2020-04-08 04:30:00,0.11852344092074824,0.1930531432783557
2020-04-08 05:00:00,0.12157233884523673,0.3125949286471391
2020-04-08 05:30:00,0.12664428286618987,0.4853294666044771
2020-04-08 06:00:00,0.14006097494234,0.7812637071147033
2020-04-08 06:30:00,0.15518314230763217,0.9709693499477375
2020-04-08 07:00:00,0.1725698247150251,0.994807759103823
2020-04-08 07:30:00,0.18990017669225845,0.9034873929528062
2020-04-08 08:00:00,0.20422644754741773,0.7936410602020535
2020-04-08 08:30:00,0.21910304442324835,0.6518720031128523
2020-04-08 09:00:00,0.22947334021327814,0.5459692648146134
2020-04-08 09:30:00,0.23521791273483494,0.4693786273847737
2020-04-08 10:00:00,0.239173754983973,0.41517458134987645
2020-04-08 10:30:00,0.2421719881166446,0.375919808352961
2020-04-08 11:00:00,0.2430271751452181,0.3484570022744471
2020-04-08 11:30:00,0.24710284414284825,0.3306763692219741
2020-04-08 12:00:00,0.2596177059228219,0.3623039797952993
2020-04-08 12:30:00,0.25992184531673884,0.3208566071399274
2020-04-08 13:00:00,0.2521974154308005,0.2954576731327106
2020-04-08 13:30:00,0.24128972817461858,0.2709758070521875
2020-04-08 14:00:00,0.2329041301509621,0.25784229817770765
2020-04-08 14:30:00,0.22508031239983434,0.24900754518826224
2020-04-08 15:00:00,0.22471894178074156,0.27698257048771385
2020-04-08 15:30:00,0.22853601275867189,0.30052270627261585
2020-04-08 16:00:00,0.2476414672472696,0.42583697212097615
2020-04-08 16:30:00,0.27727036915427544,0.5232921312716026
2020-04-08 17:00:00,0.31027208693272884,0.6034034049924755
2020-04-08 17:30:00,0.3301003244341945,0.5913922360050774
2020-04-08 18:00:00,0.3369272094750419,0.6521150397403493
2020-04-08 18:30:00,0.3323467693390143,0.6396717434636278
2020-04-08 19:00:00,0.32459391001837157,0.6439754097749746
2020-04-08 19:30:00,0.31473587929484437,0.6326918695743144
2020-04-08 20:00:00,0.313883086424579,0.6248119783297682
2020-04-08 20:30:00,0.30107998999343305,0.5348858583514635
2020-04-08 21:00:00,0.2820672238031208,0.46371912193796816
2020-04-08 21:30:00,0.25915887770099116,0.3721546458371095
2020-04-08 22:00:00,0.23962534788454926,0.30640046370457186
2020-04-08 22:30:00,0.21465876825416672,0.22857431720987256
2020-04-08 23:00:00,0.18854715948622933,0.17052573083406372
2020-04-08 23:30:00,0.16631423501176543,0.13353013909193232
2020-04-09 00:00:00,0.15017103277906768,0.11085075474823639
2020-04-09 00:30:00,0.1455741691878328,0.09737833727634135
2020-04-09 01:00:00,0.15828803370698685,0.0905408454780449
2020-04-09 01:30:00,0.14718148489775507,0.08516668087606545
2020-04-09 02:00:00,0.1386616171090893,0.08538125313759745
2020-04-09 02:30:00,0.13061154188878646,0.08583289485441135
2020-04-09 03:00:00,0.12515227688411584,0.09203103910540333
2020-04-09 03:30:00,0.12132524875135817,0.09894641314774819
2020-04-09 04:00:00,0.11848906918032545,0.12277161558522796
2020-04-09 04:30:00,0.11610157489546297,0.1519500420687837
2020-04-09 05:00:00,0.11892614013834082,0.2555710042265659
2020-04-09 05:30:00,0.1229258275040057,0.3843826384587808
2020-04-09 06:00:00,0.1362684200242292,0.6295140032983081
2020-04-09 06:30:00,0.1493634686779476,0.7845078096081385
2020-04-09 07:00:00,0.1672837815658046,0.8094307102164121
2020-04-09 07:30:00,0.18446039375678985,0.7506823207757019
2020-04-09 08:00:00,0.1992949792103041,0.6906773738247584
2020-04-09 08:30:00,0.21462167443023716,0.5968881727028117
2020-04-09 09:00:00,0.22501432613249128,0.526778253767021
2020-04-09 09:30:00,0.23361227217307035,0.4844429352348546
2020-04-09 10:00:00,0.23724285647294213,0.44279597235157986
2020-04-09 10:30:00,0.23981086066214402,0.4162518406888182
2020-04-09 11:00:00,0.24290454715978368,0.39899792732238853
2020-04-09 11:30:00,0.24785089371546468,0.39365377540849555
2020-04-09 12:00:00,0.2607521199853067,0.4225802522397399
2020-04-09 12:30:00,0.26251805797622485,0.3905873628124244
2020-04-09 13:00:00,0.2556024353453328,0.368978271704833
2020-04-09 13:30:00,0.24518638676347607,0.34872670104893366
2020-04-09 14:00:00,0.23701865557908885,0.33498147348508345
2020-04-09 14:30:00,0.23306286781658603,0.3236306214002007
2020-04-09 15:00:00,0.23246448249720594,0.3607499028495536
2020-04-09 15:30:00,0.23593764019038532,0.3899705923017999
2020-04-09 16:00:00,0.2533669863152876,0.5336455082265923
2020-04-09 16:30:00,0.2824139254257423,0.6398197984953192
2020-04-09 17:00:00,0.31428575336256265,0.7280932230010707
2020-04-09 17:30:00,0.3350964487237599,0.7331711713769472
2020-04-09 18:00:00,0.339587867514888,0.7974673396015376
2020-04-09 18:30:00,0.3357122403363709,0.7835059343640081
2020-04-09 19:00:00,0.32739187520515173,0.7802238293675315
2020-04-09 19:30:00,0.3166498038357535,0.738501618302736
2020-04-09 20:00:00,0.31810656173312296,0.7486664024079429
2020-04-09 20:30:00,0.3011040139425106,0.6125979280248385
2020-04-09 21:00:00,0.2826656923581911,0.5225290516990865
2020-04-09 21:30:00,0.26135064163683824,0.44296694415951093
2020-04-09 22:00:00,0.24244029104209328,0.3586234853830799
2020-04-09 22:30:00,0.21935629992028377,0.270474154276352
2020-04-09 23:00:00,0.1938745408506182,0.20535088991435727
2020-04-09 23:30:00,0.17288646008362307,0.16215211999460247
2020-04-10 00:00:00,0.1563294752061272,0.1382630848990469
2020-04-10 00:30:00,0.15068275565628542,0.1208413137326583
2020-04-10 01:00:00,0.16122333721193569,0.11055999351311857
2020-04-10 01:30:00,0.14874691541200732,0.10634916055482314
2020-04-10 02:00:00,0.13990595180459472,0.10323784640732125
2020-04-10 02:30:00,0.1316084454473761,0.1020486650838569
2020-04-10 03:00:00,0.12563674055797183,0.10709305336018589
2020-04-10 03:30:00,0.12141587675874894,0.11171519070170517
2020-04-10 04:00:00,0.11818949834081606,0.1367143476289495
2020-04-10 04:30:00,0.1151759396617687,0.16552410712644156
2020-04-10 05:00:00,0.11726394647053784,0.2690230916889919
2020-04-10 05:30:00,0.12068977201748916,0.4059697112607755
2020-04-10 06:00:00,0.13107612429731416,0.649077323650609
2020-04-10 06:30:00,0.14140256089943784,0.801797530842112
2020-04-10 07:00:00,0.1563112976264835,0.8172893350061256
2020-04-10 07:30:00,0.17172204091192997,0.7451798282694667
2020-04-10 08:00:00,0.18711896470955652,0.6785960883479633
2020-04-10 08:30:00,0.2070899828232354,0.5949879262309936
2020-04-10 09:00:00,0.2258044737663961,0.5446263468971099
2020-04-10 09:30:00,0.24110462910189645,0.5142442195809576
2020-04-10 10:00:00,0.2514085898096532,0.48089929406429455
2020-04-10 10:30:00,0.2557616761137396,0.4431026793990627
2020-04-10 11:00:00,0.26003590668478005,0.41588337964175753
2020-04-10 11:30:00,0.26357846864923506,0.39179533192121013
2020-04-10 12:00:00,0.27223519124317835,0.4129857490304898
2020-04-10 12:30:00,0.27115401731689603,0.36489915585747723
2020-04-10 13:00:00,0.2637041605833718,0.33573831459980735
2020-04-10 13:30:00,0.2533189494312283,0.31015468814883473
2020-04-10 14:00:00,0.2454956863908558,0.29216406859125527
2020-04-10 14:30:00,0.23590225869162956,0.28205351947412227
2020-04-10 15:00:00,0.2333140697828752,0.30442612732522945
2020-04-10 15:30:00,0.23538653841649554,0.32338069077529585
2020-04-10 16:00:00,0.2507534801652053,0.44629780265033075
2020-04-10 16:30:00,0.2781364427753877,0.5372485472152176
2020-04-10 17:00:00,0.3079477213994052,0.6064429153388763
2020-04-10 17:30:00,0.32393747023414504,0.5897118390404195
2020-04-10 18:00:00,0.3319854157070023,0.6445370860871565
2020-04-10 18:30:00,0.3273026475020106,0.6250755069176106
2020-04-10 19:00:00,0.31740865688655023,0.6194953389953101
2020-04-10 19:30:00,0.30700706573081527,0.5885600287237224
2020-04-10 20:00:00,0.3055220833365863,0.5670575387725104
2020-04-10 20:30:00,0.294281450309565,0.49069977511739193
2020-04-10 21:00:00,0.2761689698786713,0.4061278871349927
2020-04-10 21:30:00,0.2551449696288316,0.33580962523251456
2020-04-10 22:00:00,0.2378437563435924,0.2770278619724393
2020-04-10 22:30:00,0.21492730438312957,0.20826388139489066
2020-04-10 23:00:00,0.19197805312221863,0.1595486221216992
2020-04-10 23:30:00,0.1715354382348808,0.12903777905516067
2020-04-11 00:00:00,0.15604522883777586,0.10749963499678913
2020-04-11 00:30:00,0.14914377508158838,0.09179800730670018
2020-04-11 01:00:00,0.15798628812859064,0.0831411435488622
2020-04-11 01:30:00,0.14570151929717887,0.0764933331758432
2020-04-11 02:00:00,0.13685800144991936,0.07586113699511392
2020-04-11 02:30:00,0.1284535214561329,0.07340685030846845
2020-04-11 03:00:00,0.12286753815693076,0.07530976100930901
2020-04-11 03:30:00,0.11907992173858828,0.07895545821226181
2020-04-11 04:00:00,0.11568359719071797,0.09422108392849064
2020-04-11 04:30:00,0.11249971938576668,0.11196261374333073
2020-04-11 05:00:00,0.11386344220126288,0.17079499597195308
2020-04-11 05:30:00,0.11556447891495837,0.2411619421300774
2020-04-11 06:00:00,0.12408205627874352,0.4132867823351978
2020-04-11 06:30:00,0.13301297840829385,0.5377868531431285
2020-04-11 07:00:00,0.14716155585002727,0.6221758161048354
2020-04-11 07:30:00,0.16283788418517273,0.583769155756626
2020-04-11 08:00:00,0.18056457584709762,0.5532250278541039
2020-04-11 08:30:00,0.2013724033642266,0.4901042495046472
2020-04-11 09:00:00,0.22271547497486183,0.4654063778661093
2020-04-11 09:30:00,0.23892060238052548,0.43235702957898864
2020-04-11 10:00:00,0.24918095579580793,0.41137124726518953
2020-04-11 10:30:00,0.2568616270821802,0.38106918647031585
2020-04-11 11:00:00,0.25977653147921514,0.3609782707709299
2020-04-11 11:30:00,0.26294152356751443,0.34785425714444973
2020-04-11 12:00:00,0.27170061033120013,0.3672739188001169
2020-04-11 12:30:00,0.2714958726644894,0.32640550555621567
2020-04-11 13:00:00,0.2642688809035709,0.3011098921454712
2020-04-11 13:30:00,0.25232486300675794,0.27364125700842334
2020-04-11 14:00:00,0.24355262645080325,0.2656821261945147
2020-04-11 14:30:00,0.23601834890990023,0.2484971373333535
2020-04-11 15:00:00,0.2333902767926043,0.2625002734412012
2020-04-11 15:30:00,0.2348269481101558,0.2747477900245821
2020-04-11 16:00:00,0.24761957580812385,0.3877493210125005
2020-04-11 16:30:00,0.2716084838375256,0.4380815215846469
2020-04-11 17:00:00,0.29859237982399395,0.5138171824540727
2020-04-11 17:30:00,0.31303107778410016,0.49343674633723783
2020-04-11 18:00:00,0.3184442712271322,0.5394832205644361
2020-04-11 18:30:00,0.3147943659336976,0.5184545645888191
2020-04-11 19:00:00,0.3074313708677925,0.5104167131096816
2020-04-11 19:30:00,0.29864683415048626,0.4844691923313899
2020-04-11 20:00:00,0.2977869686883725,0.4615644780369606
2020-04-11 20:30:00,0.2882248559914568,0.40800247860098954
2020-04-11 21:00:00,0.27122175366939233,0.3429468796962689
2020-04-11 21:30:00,0.2551125410200249,0.2925376152888694
2020-04-11 22:00:00,0.2360023540232753,0.2412615229281738
2020-04-11 22:30:00,0.21641329155364325,0.1933697904265725
2020-04-11 23:00:00,0.1936941664328252,0.1506885927757807
2020-04-11 23:30:00,0.17317519408848572,0.11896198956829093
2020-04-12 00:00:00,0.15630887350731149,0.10082622398915013
2020-04-12 00:30:00,0.14893499204938726,0.08561083860995167
2020-04-12 01:00:00,0.155949430243781,0.07612364490724627
2020-04-12 01:30:00,0.14377024081943998,0.07109236862054141
2020-04-12 02:00:00,0.13438775859653496,0.06811544221981905
2020-04-12 02:30:00,0.12577132983608608,0.06590506690057103
2020-04-12 03:00:00,0.12080841823431898,0.06951854461150528
2020-04-12 03:30:00,0.11687200840565051,0.07223524138674599
2020-04-12 04:00:00,0.11439559644166344,0.08540642969271615
